"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2024","4,980","5,075","5,125","4,970","51.15M","-0.90%"
"11/07/2024","5,025","5,150","5,175","5,025","63.75M","-1.95%"
"11/06/2024","5,125","5,425","5,425","5,100","67.21M","-5.09%"
"11/05/2024","5,400","5,275","5,450","5,250","32.45M","1.89%"
"11/04/2024","5,300","5,225","5,325","5,150","31.67M","1.92%"
"11/01/2024","5,200","5,250","5,250","5,175","21.87M","-0.95%"
"10/31/2024","5,250","5,200","5,300","5,175","50.04M","0.48%"
"10/30/2024","5,225","5,300","5,325","5,200","58.41M","-1.42%"
"10/29/2024","5,300","5,400","5,500","5,275","77.07M","-3.64%"
"10/28/2024","5,500","5,650","5,675","5,425","48.52M","-2.65%"
"10/25/2024","5,650","5,625","5,650","5,550","20.20M","0.44%"
"10/24/2024","5,625","5,650","5,700","5,625","26.45M","-0.88%"
"10/23/2024","5,675","5,675","5,675","5,600","63.16M","0.44%"
"10/22/2024","5,650","5,650","5,675","5,575","59.96M","0.44%"
"10/21/2024","5,625","5,700","5,750","5,600","50.98M","-0.44%"
"10/18/2024","5,650","5,550","5,650","5,550","58.87M","2.73%"
"10/17/2024","5,500","5,500","5,575","5,475","48.57M","0.46%"
"10/16/2024","5,475","5,500","5,500","5,450","26.63M","-0.45%"
"10/15/2024","5,500","5,450","5,525","5,425","44.25M","1.38%"
"10/14/2024","5,425","5,375","5,450","5,375","36.81M","0.93%"
"10/11/2024","5,375","5,425","5,425","5,325","14.49M","0.94%"
"10/10/2024","5,325","5,350","5,400","5,325","25.89M","0.00%"
"10/09/2024","5,325","5,350","5,425","5,275","70.83M","-0.47%"
