"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2024","4,520","4,600","4,640","4,520","213.86M","-0.66%"
"11/07/2024","4,550","4,610","4,640","4,550","296.22M","-1.09%"
"11/06/2024","4,600","4,710","4,730","4,600","249.06M","-2.34%"
"11/05/2024","4,710","4,690","4,740","4,680","199.50M","-0.21%"
"11/04/2024","4,720","4,710","4,770","4,650","209.83M","0.43%"
"11/01/2024","4,700","4,770","4,820","4,700","235.66M","-2.08%"
"10/31/2024","4,800","4,710","4,870","4,710","307.11M","1.91%"
"10/30/2024","4,710","4,630","4,750","4,630","296.31M","0.21%"
"10/29/2024","4,700","4,730","4,780","4,700","203.66M","-1.26%"
"10/28/2024","4,760","4,770","4,800","4,710","191.21M","-0.21%"
"10/25/2024","4,770","4,820","4,860","4,770","195.65M","-1.04%"
"10/24/2024","4,820","4,820","4,900","4,810","218.16M","-0.82%"
"10/23/2024","4,860","4,830","4,890","4,810","222.15M","-0.82%"
"10/22/2024","4,900","4,960","4,970","4,900","199.71M","-1.80%"
"10/21/2024","4,990","4,980","5,025","4,970","110.71M","0.40%"
"10/18/2024","4,970","5,025","5,050","4,960","157.11M","-0.20%"
"10/17/2024","4,980","4,960","5,050","4,940","188.13M","0.61%"
"10/16/2024","4,950","4,950","4,970","4,920","118.01M","0.61%"
"10/15/2024","4,920","4,930","4,990","4,920","142.37M","0.41%"
"10/14/2024","4,900","4,900","4,930","4,870","125.41M","0.00%"
"10/11/2024","4,900","4,910","4,940","4,890","104.88M","0.82%"
"10/10/2024","4,860","4,920","4,970","4,860","226.56M","-1.42%"
"10/09/2024","4,930","5,000","5,075","4,930","309.34M","-1.40%"
