"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2024","6,325","6,425","6,525","6,275","192.68M","-1.56%"
"11/07/2024","6,425","6,500","6,550","6,425","154.76M","-1.91%"
"11/06/2024","6,550","6,925","6,925","6,550","147.27M","-5.42%"
"11/05/2024","6,925","6,725","6,950","6,675","88.66M","2.59%"
"11/04/2024","6,750","6,600","6,800","6,525","80.21M","1.50%"
"11/01/2024","6,650","6,725","6,725","6,550","101.42M","-0.75%"
"10/31/2024","6,700","6,750","6,825","6,700","126.73M","-0.74%"
"10/30/2024","6,750","6,575","6,775","6,575","122.13M","-1.10%"
"10/29/2024","6,825","6,800","6,850","6,725","91.27M","0.00%"
"10/28/2024","6,825","7,075","7,075","6,800","114.50M","-3.19%"
"10/25/2024","7,050","6,975","7,050","6,975","34.64M","1.08%"
"10/24/2024","6,975","7,000","7,150","6,975","65.88M","-1.41%"
"10/23/2024","7,075","7,075","7,125","7,025","38.22M","0.00%"
"10/22/2024","7,075","7,150","7,175","7,075","43.58M","-1.74%"
"10/21/2024","7,200","7,250","7,250","7,125","43.06M","0.35%"
"10/18/2024","7,175","7,275","7,300","7,175","57.38M","-0.69%"
"10/17/2024","7,225","7,050","7,250","7,000","90.22M","3.21%"
"10/16/2024","7,000","7,050","7,075","6,925","133.02M","-0.71%"
"10/15/2024","7,050","7,000","7,100","6,925","90.36M","1.81%"
"10/14/2024","6,925","6,925","6,975","6,900","55.89M","-0.36%"
"10/11/2024","6,950","7,025","7,025","6,925","45.33M","0.00%"
"10/10/2024","6,950","6,925","7,050","6,900","44.29M","0.00%"
"10/09/2024","6,950","7,075","7,175","6,950","76.52M","-1.77%"
"10/08/2024","7,075","6,825","7,175","6,775","132.14M","2.91%"
"10/07/2024","6,875","6,925","6,925","6,800","103.94M","-1.08%"
"10/04/2024","6,950","7,025","7,050","6,900","79.49M","-1.42%"
"10/03/2024","7,050","7,000","7,075","6,900","86.26M","1.08%"
"10/02/2024","6,975","7,025","7,100","6,925","91.08M","-1.06%"
"10/01/2024","7,050","7,000","7,075","6,950","82.69M","1.81%"
"09/30/2024","6,925","7,000","7,025","6,875","166.20M","-1.77%"
"09/27/2024","7,050","7,025","7,125","7,000","161.41M","-1.74%"
"09/26/2024","7,175","7,175","7,200","7,100","173.04M","-0.35%"
"09/25/2024","7,200","7,350","7,350","7,050","192.20M","-3.03%"
"09/24/2024","7,425","7,400","7,475","7,375","81.82M","-0.34%"
"09/23/2024","7,450","7,325","7,450","7,300","79.68M","2.05%"
"09/20/2024","7,300","7,400","7,425","7,300","97.90M","-1.35%"
"09/19/2024","7,400","7,450","7,550","7,400","124.38M","0.00%"
"09/18/2024","7,400","7,375","7,450","7,350","47.28M","-0.34%"
"09/17/2024","7,425","7,325","7,450","7,300","96.43M","2.06%"
"09/13/2024","7,275","7,300","7,300","7,225","45.85M","-0.34%"
"09/12/2024","7,300","7,375","7,425","7,300","68.25M","-1.02%"
"09/11/2024","7,375","7,300","7,400","7,275","91.82M","1.72%"
"09/10/2024","7,250","7,250","7,275","7,225","73.52M","0.00%"
"09/09/2024","7,250","7,250","7,250","7,200","71.43M","0.00%"
"09/06/2024","7,250","7,175","7,275","7,150","63.62M","1.05%"
"09/05/2024","7,175","7,125","7,225","7,125","59.43M","0.00%"
"09/04/2024","7,175","7,000","7,175","7,000","78.79M","1.41%"
"09/03/2024","7,075","7,200","7,250","7,050","75.10M","-1.74%"
"09/02/2024","7,200","7,200","7,275","7,125","82.18M","1.05%"
"08/30/2024","7,125","7,100","7,175","7,075","153.76M","0.35%"
"08/29/2024","7,100","7,300","7,300","7,100","94.48M","-1.73%"
"08/28/2024","7,225","7,025","7,225","7,000","114.61M","2.85%"
"08/27/2024","7,025","7,025","7,050","6,925","91.69M","-0.35%"
"08/26/2024","7,050","7,050","7,100","7,000","78.52M","0.00%"
"08/23/2024","7,050","7,000","7,075","6,975","111.75M","0.00%"
"08/22/2024","7,050","7,150","7,175","6,925","157.32M","-2.76%"
"08/21/2024","7,250","7,300","7,300","7,225","88.49M","0.69%"
"08/20/2024","7,200","7,200","7,350","7,150","102.62M","0.70%"
"08/19/2024","7,150","7,075","7,150","7,025","50.25M","1.06%"
"08/16/2024","7,075","7,075","7,125","7,025","64.27M","0.71%"
"08/15/2024","7,025","7,075","7,075","6,925","75.96M","-0.71%"
"08/14/2024","7,075","7,075","7,100","7,025","97.70M","1.07%"
"08/13/2024","7,000","6,850","7,000","6,850","68.67M","1.45%"
"08/12/2024","6,900","6,875","6,900","6,775","50.76M","0.73%"
"08/09/2024","6,850","6,825","6,900","6,800","79.71M","0.74%"
"08/08/2024","6,800","6,800","6,850","6,725","81.41M","0.37%"
"08/07/2024","6,775","6,725","6,775","6,650","84.63M","2.26%"
"08/06/2024","6,625","6,650","6,700","6,525","95.79M","0.76%"
"08/05/2024","6,575","6,700","6,725","6,500","184.38M","-3.31%"
"08/02/2024","6,800","6,700","6,875","6,675","167.89M","0.74%"
"08/01/2024","6,750","6,550","6,750","6,500","163.09M","5.47%"
"07/31/2024","6,400","6,400","6,475","6,375","99.00M","-1.16%"
"07/30/2024","6,475","6,475","6,550","6,375","87.54M","0.00%"
"07/29/2024","6,475","6,550","6,550","6,450","54.44M","-1.15%"
"07/26/2024","6,550","6,575","6,625","6,500","76.52M","-0.38%"
"07/25/2024","6,575","6,450","6,575","6,400","66.66M","1.54%"
"07/24/2024","6,475","6,500","6,575","6,475","63.94M","-2.26%"
"07/23/2024","6,625","6,750","6,750","6,550","77.86M","-1.12%"
"07/22/2024","6,700","6,575","6,700","6,525","110.47M","2.68%"
"07/19/2024","6,525","6,500","6,525","6,450","63.17M","-0.38%"
"07/18/2024","6,550","6,550","6,600","6,500","132.53M","1.55%"
"07/17/2024","6,450","6,450","6,525","6,375","109.73M","1.57%"
"07/16/2024","6,350","6,400","6,400","6,300","64.69M","0.00%"
"07/15/2024","6,350","6,450","6,450","6,300","66.07M","-1.17%"
"07/12/2024","6,425","6,450","6,550","6,400","146.67M","0.39%"
"07/11/2024","6,400","6,400","6,425","6,350","66.80M","0.39%"
"07/10/2024","6,375","6,375","6,450","6,300","59.69M","0.00%"
"07/09/2024","6,375","6,225","6,400","6,200","84.18M","2.41%"
"07/08/2024","6,225","6,400","6,425","6,200","138.14M","-3.11%"
"07/05/2024","6,425","6,325","6,500","6,300","111.65M","2.80%"
"07/04/2024","6,250","6,250","6,400","6,225","90.15M","0.40%"
"07/03/2024","6,225","6,275","6,300","6,100","70.02M","0.40%"
"07/02/2024","6,200","6,275","6,350","6,150","159.36M","-0.80%"
"07/01/2024","6,250","6,175","6,250","6,100","100.41M","1.63%"
"06/28/2024","6,150","6,000","6,250","6,000","191.37M","2.50%"
"06/27/2024","6,000","5,900","6,075","5,875","117.60M","2.56%"
"06/26/2024","5,850","5,950","6,025","5,850","92.90M","-1.27%"
"06/25/2024","5,925","5,925","5,975","5,825","159.98M","-1.25%"
"06/24/2024","6,000","6,075","6,125","6,000","58.83M","-2.04%"
"06/21/2024","6,125","6,050","6,200","6,025","188.72M","2.94%"
"06/20/2024","5,950","5,825","5,950","5,750","82.66M","3.48%"
"06/19/2024","5,750","5,775","5,850","5,675","116.00M","0.00%"
"06/14/2024","5,750","5,850","5,875","5,650","203.24M","-2.13%"
"06/13/2024","5,875","5,975","6,000","5,850","162.62M","-0.84%"
"06/12/2024","5,925","6,050","6,075","5,900","120.86M","-3.27%"
"06/11/2024","6,125","6,200","6,250","6,125","56.25M","-2.39%"
"06/10/2024","6,275","6,275","6,350","6,200","80.15M","0.00%"
"06/07/2024","6,275","6,250","6,275","6,150","99.09M","1.62%"
"06/06/2024","6,175","6,125","6,200","6,075","85.74M","2.92%"
"06/05/2024","6,000","6,125","6,150","5,975","105.17M","-2.44%"
"06/04/2024","6,150","6,150","6,275","6,125","137.80M","0.82%"
"06/03/2024","6,100","6,075","6,150","6,025","92.53M","3.39%"
"05/31/2024","5,900","6,000","6,025","5,900","169.57M","0.43%"
"05/30/2024","5,875","5,775","6,000","5,525","236.63M","1.29%"
"05/29/2024","5,800","5,825","5,875","5,700","169.39M","-2.52%"
"05/28/2024","5,950","5,850","6,025","5,825","93.70M","2.15%"
"05/27/2024","5,825","6,025","6,050","5,825","258.45M","-3.72%"
"05/22/2024","6,050","6,000","6,150","5,950","171.68M","0.41%"
"05/21/2024","6,025","6,225","6,275","5,975","308.55M","-4.74%"
"05/20/2024","6,325","6,550","6,625","6,200","168.80M","-3.80%"
"05/17/2024","6,575","6,350","6,650","6,350","133.15M","3.54%"
"05/16/2024","6,350","6,450","6,500","6,325","114.81M","-0.39%"
"05/15/2024","6,375","6,200","6,400","6,200","80.92M","2.82%"
"05/14/2024","6,200","6,175","6,300","6,175","94.05M","0.00%"
"05/13/2024","6,200","6,200","6,275","6,125","128.64M","-1.20%"
"05/08/2024","6,275","6,325","6,450","6,250","117.07M","0.00%"
"05/07/2024","6,275","6,325","6,400","6,250","130.41M","0.00%"
"05/06/2024","6,275","6,250","6,400","6,150","184.23M","2.03%"
"05/03/2024","6,150","6,300","6,425","6,050","270.53M","-2.77%"
"05/02/2024","6,325","6,800","6,800","6,050","501.85M","-8.33%"
"04/30/2024","6,900","6,800","7,050","6,775","189.99M","-0.36%"
"04/29/2024","6,925","6,650","6,950","6,650","77.94M","2.59%"
"04/26/2024","6,750","7,000","7,025","6,750","125.88M","-2.88%"
"04/25/2024","6,950","7,050","7,075","6,925","111.80M","-1.42%"
"04/24/2024","7,050","6,925","7,050","6,900","117.59M","3.30%"
"04/23/2024","6,825","6,850","6,925","6,725","107.63M","1.49%"
"04/22/2024","6,725","6,875","6,875","6,575","121.73M","0.00%"
"04/19/2024","6,725","6,725","6,800","6,650","47.94M","-1.10%"
"04/18/2024","6,800","6,800","6,900","6,725","106.89M","2.64%"
"04/17/2024","6,625","6,700","6,775","6,625","83.84M","0.00%"
"04/16/2024","6,625","6,350","6,725","6,300","180.01M","-2.93%"
"04/05/2024","6,825","6,825","6,900","6,825","46.11M","-0.73%"
"04/04/2024","6,875","6,750","6,925","6,750","64.42M","1.48%"
"04/03/2024","6,775","6,950","6,950","6,675","115.37M","-1.81%"
